teste,parceiro,periodo,n_grupos,n_dias,grupo_vencedor,vendas_vencedor,margem_vencedor,roi_vencedor,cashback_pct_vencedor,alertas_qualidade,decisao,justificativa,dataset
Teste A/B — Parceiro A,Parceiro A,01/01/2011 a 02/04/2011,3,92,Grupo 1,"R$ 5,605,173","R$ 404,711",173.4%,4.2%,0,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 é a melhor opção para escalar a 100% do tráfego. Com margem de R$ 404,711, ROI de 173% e R$ 5,605,173 em vendas totais, oferece o melhor equilíbrio entre retorno financeiro e volume.",dataset_01_parceiroA.csv
Teste A/B — Parceiro B,Parceiro B,01/05/2011 a 30/06/2011,3,61,Grupo 1,"R$ 4,093,818","R$ 286,570",175.0%,4.0%,1,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 é a melhor opção para escalar a 100% do tráfego. Com margem de R$ 286,570, ROI de 175% e R$ 4,093,818 em vendas totais, oferece o melhor equilíbrio entre retorno financeiro e volume.",dataset_02_parceiroB.csv
Teste A/B — Parceiro C,Parceiro C,01/07/2011 a 14/08/2011,2,45,Grupo 1,"R$ 1,738,460","R$ 34,769",40.0%,5.0%,1,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 é a melhor opção para escalar a 100% do tráfego. Com margem de R$ 34,769, ROI de 40% e R$ 1,738,460 em vendas totais, oferece o melhor equilíbrio entre retorno financeiro e volume.",dataset_03_parceiroC.csv
Teste A/B — Parceiro A,Parceiro A,01/01/2011 a 02/04/2011,3,92,Grupo 1,"R$ 5,605,173","R$ 404,711",173.4%,4.2%,6,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 e a variante recomendada para escalar a 100% do trafego. Embora Grupo 2 tenha vendas brutas maiores (R$ 6,423,096 vs R$ 5,605,173), Grupo 1 gera mais margem por comprador (R$ 42.01 vs R$ 33.06), o que importa para a rentabilidade do Meliuz. Atencao: ha 2 alerta(s) de qualidade neste grupo que devem ser considerados antes da decisao final.",dataset_01_parceiroA.csv
Teste A/B — Parceiro B,Parceiro B,01/05/2011 a 30/06/2011,3,61,Grupo 1,"R$ 4,093,818","R$ 286,570",175.0%,4.0%,1,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 e a variante recomendada para escalar a 100% do trafego. Com margem de R$ 286,570 e ROI de 175%, e o grupo que melhor equilibra retorno financeiro e volume. Atencao: ha 1 alerta(s) de qualidade neste grupo que devem ser considerados antes da decisao final.",dataset_02_parceiroB.csv
Teste A/B — Parceiro C,Parceiro C,01/07/2011 a 14/08/2011,2,45,Grupo 1,"R$ 1,738,460","R$ 34,769",40.0%,5.0%,1,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 e a variante recomendada para escalar a 100% do trafego. Com margem de R$ 34,769 e ROI de 40%, e o grupo que melhor equilibra retorno financeiro e volume.",dataset_03_parceiroC.csv
Teste A/B — Parceiro A,Parceiro A,01/01/2011 a 02/04/2011,3,92,Grupo 1,"R$ 5,605,173","R$ 404,711",173.4%,4.2%,6,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 e a variante recomendada para escalar a 100% do trafego. Embora Grupo 2 tenha vendas brutas maiores (R$ 6,423,096 vs R$ 5,605,173), Grupo 1 gera mais margem por comprador (R$ 42.01 vs R$ 33.06), o que importa para a rentabilidade do Meliuz. Atencao: ha 2 alerta(s) de qualidade neste grupo que devem ser considerados antes da decisao final.",dataset_01_parceiroA.csv
Teste A/B — Parceiro A,Parceiro A,01/01/2011 a 02/04/2011,3,92,Grupo 1,"R$ 5,605,173","R$ 404,711",173.4%,4.2%,6,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 e a variante recomendada para escalar a 100% do trafego. Embora Grupo 2 tenha vendas brutas maiores (R$ 6,423,096 vs R$ 5,605,173), Grupo 1 gera mais margem por comprador (R$ 42.01 vs R$ 33.06), o que importa para a rentabilidade do Meliuz. Atencao: ha 2 alerta(s) de qualidade neste grupo que devem ser considerados antes da decisao final.",dataset_01_parceiroA.csv
ar Grupo 1 para 100% do tráfego,"Grupo 1 é a melhor opção para escalar a 100% do tráfego. Com margem de R$ 286,570, ROI de 175% e R$ 4,093,818 em vendas totais, oferece o melhor equilíbrio entre retorno financeiro e volume.",dataset_02_parceiroB.csv
Teste A/B — Parceiro A,Parceiro A,01/01/2011 a 02/04/2011,3,92,Grupo 1,"R$ 5,605,173","R$ 404,711",173.4%,4.2%,0,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 é a melhor opção para escalar a 100% do tráfego. Com margem de R$ 404,711, ROI de 173% e R$ 5,605,173 em vendas totais, oferece o melhor equilíbrio entre retorno financeiro e volume.",dataset_01_parceiroA.csv
Teste A/B — Parceiro A,Parceiro A,01/01/2011 a 02/04/2011,3,92,Grupo 1,"R$ 5,605,173","R$ 404,711",173.4%,4.2%,0,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 é a melhor opção para escalar a 100% do tráfego. Com margem de R$ 404,711, ROI de 173% e R$ 5,605,173 em vendas totais, oferece o melhor equilíbrio entre retorno financeiro e volume.",dataset_01_parceiroA.csv
Teste A/B — Parceiro C,Parceiro C,01/07/2011 a 14/08/2011,2,45,Grupo 1,"R$ 1,738,460","R$ 34,769",40.0%,5.0%,1,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 é a melhor opção para escalar a 100% do tráfego. Com margem de R$ 34,769, ROI de 40% e R$ 1,738,460 em vendas totais, oferece o melhor equilíbrio entre retorno financeiro e volume.",dataset_03_parceiroC.csv
Teste A/B — Parceiro A,Parceiro A,01/01/2011 a 02/04/2011,3,92,Grupo 1,"R$ 5,605,173","R$ 404,711",173.4%,4.2%,6,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 é a variante recomendada para escalar a 100% do tráfego. Embora Grupo 2 tenha vendas brutas maiores (R$ 6,423,096 vs R$ 5,605,173), Grupo 1 gera mais margem por comprador (R$ 42.01 vs R$ 33.06), o que importa para a rentabilidade do Méliuz. Atenção: há 2 alerta(s) de qualidade neste grupo que devem ser considerados antes da decisão final.",dataset_01_parceiroA.csv
Teste A/B — Parceiro B,Parceiro B,01/05/2011 a 30/06/2011,3,61,Grupo 1,"R$ 4,093,818","R$ 286,570",175.0%,4.0%,1,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 é a variante recomendada para escalar a 100% do tráfego. Com margem de R$ 286,570 e ROI de 175%, é o grupo que melhor equilibra retorno financeiro e volume. Atenção: há 1 alerta(s) de qualidade neste grupo que devem ser considerados antes da decisão final.",dataset_02_parceiroB.csv
Teste A/B — Parceiro C,Parceiro C,01/07/2011 a 14/08/2011,2,45,Grupo 1,"R$ 1,738,460","R$ 34,769",40.0%,5.0%,1,Escalar Grupo 1 para 100% do tráfego,"Grupo 1 é a variante recomendada para escalar a 100% do tráfego. Com margem de R$ 34,769 e ROI de 40%, é o grupo que melhor equilibra retorno financeiro e volume.",dataset_03_parceiroC.csv
